"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Jodia mwen te kwit yon [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: M sot pase yon move jounen , men lè mwen rantre mwen jwenn Manman m kwit [MASK] "
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Vwazin mwen an kwit yon  [MASK] jodia"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: M poko manje nn jodia , men lem rantre m pral manje yon [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Pou premye jou karem lan mwen kwit [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Jodi a Dimank Pak map kwit [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: M pa sonje denye mwen manje lot bagay ke ramen men jodia mwen pral kwit [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Kiyes ki renmen manje diri ? mwen kwit yon [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan:  mwen renmen kwit manje sa yo rele [MASK], li tèlman gou"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Gras Bondye, jodi a mwen kwit [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Manje prefere m nan se  [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Timoun yo vini yo manje tout manje a telman li te gou , mwen te kwit pou yo yon [MASK]"
"Tanpri, nan fraz sa a ranplase [MASK] pa yon  entite ki soti nan kategori manje epi ban mwen egzakteman yon sèl antite kòm repons. Pa rekopye fraz la, pa ajoute okenn eksplikasyon oswa detay nan repons lan: Maten an mwen te kwit [MASK]"
