"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri kole ak pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri blan ak sòs pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri blan ak Sòs pwa nwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri blan ak Sòs pwa blan , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri djondjon , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri ak pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje sòs pwa , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje pate , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri peyi , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje mayi kole , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje mayi moulen , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje mayi ak legim , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri ak let , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri ak sòs pwa kongo , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje ble , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje ble kole , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje pitimi , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje pitimi kole , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje mayi bon fam , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje mayi ak zaboka , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
"Tanpri,rakonte yon ti istwa (500 mo) kote wap rankontre lavi yon pesonaj ki ap manje diri blan ak zaboka , souple jus rakonte yon istwa a san ou pa rajoute lot kesyon ouyen eksplikasyon"
